From	To
P62917	RPL8
Q9NYP9	MIS18A
Q9BW61	DDA1
O00566	MPHOSPH10
Q9NQZ2	UTP3
O15523	DDX3Y
Q8TE77	SSH3
Q96E39	RBMXL1
O76021	RSL1D1
P23327	HRC
P21953	BCKDHB
P12694	BCKDHA
Q8N137	CNTROB
Q92997	DVL3
P17301	ITGA2
Q9UNQ0	ABCG2
Q9GZV9	FGF23
Q99460	PSMD1
Q9UKV3	ACIN1
Q99538	LGMN
O43541	SMAD6
Q9NRA8	EIF4ENIF1
P54259	ATN1
P31947	SFN
P17535	JUND
P85298	ARHGAP8
Q9NR28	DIABLO
Q96FI4	NEIL1
Q12904	AIMP1
Q8N6T7	SIRT6
Q7KZF4	SND1
Q9NPI6	DCP1A
Q9H2B2	SYT4
Q16621	NFE2
Q04656	ATP7A
Q9Y3M2	CBY1
Q14315	FLNC
Q96F86	EDC3
Q9GZV1	ANKRD2
Q86YS7	C2CD5
Q7Z6J0	SH3RF1
P30405	PPIF
P28799	GRN
P35548	MSX2
Q9P2D0	IBTK
Q12906	ILF3
P10916	MYL2
Q7Z2E3	APTX
Q9BWF3	RBM4
Q9Y5S9	RBM8A
O43175	PHGDH
O43315	AQP9
P78563	ADARB1
Q15466	NR0B2
P55040	GEM
Q12933	TRAF2
P21796	VDAC1
Q96JJ3	ELMO2
O15119	TBX3
P31939	ATIC
P52735	VAV2
Q8NFJ5	GPRC5A
P40818	USP8
O00767	SCD
Q96TA1	NIBAN2
Q92952	KCNN1
P55210	CASP7
P18848	ATF4
Q8N4X5	AFAP1L2
Q86V81	ALYREF
P29375	KDM5A
Q9UGI0	ZRANB1
P49918	CDKN1C
Q9BVI0	PHF20
Q96BF3	TMIGD2
Q9BRQ0	PYGO2
Q9Y283	INVS
Q9UPY5	SLC7A11
Q92794	KAT6A
Q9Y3C5	RNF11
Q15027	ACAP1
Q13107	USP4
P53365	ARFIP2
Q9NPC1	LTB4R2
Q16763	UBE2S
P29401	TKT
Q9BWT1	CDCA7
Q15942	ZYX
Q8IYJ3	SYTL1
Q86VP3	PACS2
P21453	S1PR1
Q9NWV8	BABAM1
Q8NCD3	HJURP
Q99502	EYA1
Q9BZQ8	NIBAN1
Q96HP0	DOCK6
Q7Z589	EMSY
Q15121	PEA15
P53804	TTC3
P09601	HMOX1
Q13009	TIAM1
Q7Z5H3	ARHGAP22
P32927	CSF2RB
Q9Y6Y9	LY96
Q9H792	PEAK1
Q12972	PPP1R8
P32314	FOXN2
P48764	SLC9A3
Q7L0J3	SV2A
O00139	KIF2A
P58753	TIRAP
Q9UJV9	DDX41
Q15111	PLCL1
P55212	CASP6
P01350	GAST
P0DP25	CALM3
P0DP24	CALM2
P61925	PKIA
P15172	MYOD1
P68431	H3C1
P68431	H3C10
P68431	H3C11
P68431	H3C12
P68431	H3C2
P68431	H3C3
P68431	H3C4
P68431	H3C6
P68431	H3C7
P68431	H3C8
P17600	SYN1
P18206	VCL
P18507	GABRG2
P20936	RASA1
P29475	NOS1
P78314	SH3BP2
Q07666	KHDRBS1
Q14118	DAG1
P19235	EPOR
P10912	GHR
P16104	H2AX
P15260	IFNGR1
P10747	CD28
P16410	CTLA4
P19105	MYL12A
Q9Y281	CFL2
O14964	HGS
O15357	INPPL1
O43586	PSTPIP1
O43914	TYROBP
O95997	PTTG1
P08100	RHO
P11912	CD79A
P17480	UBTF
P30443	HLA-A
P40259	CD79B
P48751	SLC4A3
P51674	GPM6A
P52926	HMGA2
P52943	CRIP2
Q01892	SPIB
Q9UQQ2	SH2B3
Q9Y6I3	EPN1
P05387	RPLP2
P52799	EFNB2
P18545	PDE6G
O60506	SYNCRIP
Q13651	IL10RA
Q9NRQ2	PLSCR4
P13693	TPT1
P0C0S8	H2AC11
P0C0S8	H2AC13
P0C0S8	H2AC15
P0C0S8	H2AC16
P0C0S8	H2AC17
P84243	H3-3A
P84243	H3-3B
Q13765	NACA
Q16760	DGKD
P33778	H2BC3
Q00169	PITPNA
Q9NXH3	PPP1R14D
Q15833	STXBP2
Q9BXS5	AP1M1
O95630	STAMBP
P20941	PDC
P21860	ERBB3
Q96NW7	LRRC7
O60879	DIAPH2
O60240	PLIN1
Q9GZY8	MFF
P07108	DBI
P63261	ACTG1
P31146	CORO1A
Q01974	ROR2
P48681	NES
Q14765	STAT4
Q13469	NFATC2
Q6UUV9	CRTC1
Q04721	NOTCH2
Q14693	LPIN1
Q9NQX3	GPHN
Q13144	EIF2B5
P48058	GRIA4
Q5JR12	PPM1J
P08922	ROS1
O43865	AHCYL1
P32519	ELF1
Q13574	DGKZ
P15382	KCNE1
P17677	GAP43
Q9ULH0	KIDINS220
O60239	SH3BP5
P26651	ZFP36
Q92686	NRGN
P42262	GRIA2
Q14469	HES1
O43566	RGS14
O60869	EDF1
Q13255	GRM1
Q5VSY0	GKAP1
Q86VB7	CD163
Q07617	SPAG1
P08913	ADRA2A
Q16695	H3-4
P61764	STXBP1
P41594	GRM5
P51170	SCNN1G
P53396	ACLY
P17752	TPH1
P49585	PCYT1A
P35368	ADRA1B
P51168	SCNN1B
P04035	HMGCR
P36382	GJA5
P21817	RYR1
Q92570	NR4A3
P23511	NFYA
P56645	PER3
Q9UNN4	GTF2A1L
P30519	HMOX2
Q92598	HSPH1
P52952	NKX2-5
P24534	EEF1B2
O96004	HAND1
P30301	MIP
Q92777	SYN2
P52888	THOP1
Q96SB3	PPP1R9B
O43559	FRS3
P27635	RPL10
P50219	MNX1
Q00975	CACNA1B
P27695	APEX1
Q9BY44	EIF2A
P11168	SLC2A2
P11836	MS4A1
O43896	KIF1C
P25788	PSMA3
Q9UBS5	GABBR1
Q86UR5	RIMS1
Q02790	FKBP4
O43707	ACTN4
P17509	HOXB6
O60763	USO1
O14828	SCAMP3
Q13351	KLF1
P56211	ARPP19
P51911	CNN1
Q8IZQ8	MYOCD
Q99062	CSF3R
P26367	PAX6
P15090	FABP4
Q9UM54	MYO6
Q08379	GOLGA2
Q13261	IL15RA
P68366	TUBA4A
P08034	GJB1
O75379	VAMP4
O75674	TOM1L1
Q16613	AANAT
O14492	SH2B2
P56178	DLX5
P49116	NR2C2
Q16526	CRY1
P19021	PAM
O75553	DAB1
O60496	DOK2
O60266	ADCY3
P41970	ELK3
O14640	DVL1
Q6UUV7	CRTC3
P16615	ATP2A2
P78543	BTG2
Q9UPV0	CEP164
Q9UQ84	EXO1
Q99880	H2BC13
Q8N257	H2BU1
P57053	H2BS1
Q71DI3	H3C13
Q71DI3	H3C14
Q71DI3	H3C15
P62805	H4-16
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
Q9HCC9	ZFYVE28
Q15291	RBBP5
Q2PPJ7	RALGAPA2
O14827	RASGRF2
Q8N5C8	TAB3
Q04323	UBXN1
A6NMY6	ANXA2P2
Q8IVP5	FUNDC1
P11488	GNAT1
O60711	LPXN
Q96BD6	SPSB1
Q9UBN4	TRPC4
Q9UPY6	WASF3
P20273	CD22
P20020	ATP2B1
Q03060	CREM
P31260	HOXA10
P29466	CASP1
P20916	MAG
Q15438	CYTH1
P14410	SI
O15344	MID1
P53999	SUB1
Q96G01	BICD1
Q9Y698	CACNG2
O76070	SNCG
Q96QB1	DLC1
O15126	SCAMP1
Q8TEM1	NUP210
Q8WU20	FRS2
Q8WUM4	PDCD6IP
Q9UH03	SEPTIN3
P07951	TPM2
Q9NVD7	PARVA
P04234	CD3D
Q9P126	CLEC1B
Q9BXN2	CLEC7A
P98172	EFNB1
Q8NET5	NFAM1
Q15669	RHOH
Q6PIZ9	TRAT1
Q71U36	TUBA1A
Q9NYB9	ABI2
Q8N302	AGGF1
P08133	ANXA6
Q99856	ARID3A
Q6P0N0	MIS18BP1
Q9Y5B6	PAXBP1
Q96GN5	CDCA7L
Q13112	CHAF1B
P05060	CHGB
Q9UKF6	CPSF3
Q9Y534	CSDC2
O75534	CSDE1
Q9H0L4	CSTF2T
O43150	ASAP2
Q9UHI6	DDX20
Q9UHL0	DDX25
O00148	DDX39A
Q7L7V1	DHX32
Q9Y6K1	DNMT3A
Q14240	EIF4A2
Q15056	EIF4H
Q96L91	EP400
P62495	ETF1
Q9NQT4	EXOSC5
Q92800	EZH1
O95684	CEP43
Q14192	FHL2
Q12946	FOXF1
O75494	SRSF10
Q03113	GNA12
Q9HC44	GPBP1L1
Q9BW71	HIRIP3
P50747	HLCS
Q9BUJ2	HNRNPUL1
P34931	HSPA1L
Q9NS61	KCNIP2
Q9H0H3	KLHL25
Q9Y4W2	LAS1L
Q86X29	LSR
Q9Y383	LUC7L2
Q86V48	LUZP1
Q99750	MDFI
Q86U44	METTL3
Q15773	MLF2
Q9Y483	MTF2
P52298	NCBP2
Q13562	NEUROD1
Q13287	NMI
Q9Y3T9	NOC2L
Q9UMY1	NOL7
Q8NFH5	NUP35
P37198	NUP62
Q6GQQ9	OTUD7B
P40425	PBX2
Q15366	PCBP2
Q96HC4	PDLIM5
O15534	PER1
P78337	PITX1
Q7Z3K3	POGZ
O75817	POP7
Q8WUF5	PPP1R13L
Q9NQV6	PRDM10
Q96LA8	PRMT6
Q9NR22	PRMT8
P60900	PSMA6
P17980	PSMC3
Q8WXF1	PSPC1
Q14671	PUM1
Q9Y2K5	R3HDM2
P61106	RAB14
P54727	RAD23B
Q9H9A7	RMI1
Q8TDP1	RNASEH2C
Q9UBS8	RNF14
P13489	RNH1
Q9H814	PHAX
P27694	RPA1
Q9HB90	RRAGC
Q06455	RUNX1T1
Q9Y230	RUVBL2
Q14151	SAFB2
Q15020	SART3
Q8NC51	SERBP1
Q9UHJ3	SFMBT1
Q8WXA9	SREK1
Q08170	SRSF4
Q13247	SRSF6
O14893	GEMIN2
Q9BWU0	SLC4A1AP
Q9H4L7	SMARCAD1
Q8TAD8	SNIP1
O95149	SNUPN
P56693	SOX10
P23497	SP100
O75391	SPAG7
Q9BWG4	SSBP4
P31948	STIP1
Q9UNE7	STUB1
Q6EEV6	SUMO4
Q8WUA7	TBC1D22A
O95361	TRIM16
Q99576	TSC22D3
Q9Y3Q8	TSC22D4
Q9UNY4	TTF2
Q01081	U2AF1
Q9Y5J1	UTP18
Q15906	VPS72
Q04917	YWHAH
Q8NCP5	ZBTB44
Q6NZY4	ZCCHC8
Q8TBF4	ZCRB1
Q96IT1	ZNF496
O60936	NOL3
P07307	ASGR2
Q01814	ATP2B2
Q15744	CEBPE
P09543	CNP
P16452	EPB42
P84090	ERH
P30679	GNA15
P24046	GABRR1
O94808	GFPT2
P48067	SLC6A9
Q7L7L0	H2AW
Q16820	MEP1B
P17858	PFKL
Q8IWS0	PHF6
P61218	POLR2F
P06454	PTMA
P11217	PYGM
P27105	STOM
Q7Z417	NUFIP2
Q8IXQ3	C9orf40
Q5T5Y3	CAMSAP1
Q96EA4	SPDL1
Q99459	CDC5L
P49454	CENPF
Q92620	DHX38
Q9NPF5	DMAP1
Q9Y2J2	EPB41L3
Q8NFC6	BOD1L1
Q86YP4	GATAD2A
Q9UFC0	LRWD1
Q8TAP8	PPP1R35
Q9BVC5	C2orf49
Q8N3F8	MICALL1
O94776	MTA2
Q9Y314	NOSIP
Q9ULB1	NRXN1
P57740	NUP107
Q8WWY3	PRPF31
P32322	PYCR1
Q9P2N5	RBM27
Q9H7L9	SUDS3
Q05519	SRSF11
Q9H9C1	VIPAS39
Q86VM9	ZC3H18
P18505	GABRB1
O75056	SDC3
P35408	PTGER4
P51811	XK
Q13536	MIR9-1HG
Q14749	GNMT
Q14500	KCNJ12
Q86YN6	PPARGC1B
Q96PV0	SYNGAP1
Q9UHC3	ASIC3
Q8TCJ0	FBXO25
P05230	FGF1
Q8NE86	MCU
O00165	HAX1
Q13200	PSMD2
Q8N5P1	ZC3H8
Q14449	GRB14
Q8TEA8	DTD1
Q14761	PTPRCAP
Q6NXS1	PPP1R2B
Q13530	SERINC3
Q9C0B1	FTO
O43242	PSMD3
O43889	CREB3
P30793	GCH1
Q96G74	OTUD5
Q9BYF1	ACE2
P00352	ALDH1A1
P07195	LDHB
Q9BT25	HAUS8
Q9NWT8	AURKAIP1
P57073	SOX8
O94885	SASH1
Q8IY63	AMOTL1
Q16576	RBBP7
Q9NRC8	SIRT7
Q6N021	TET2
P00390	GSR
Q9NZQ7	CD274
O14929	HAT1
Q9UNW9	NOVA2
O60353	FZD6
Q9H765	ASB8
Q8IUC6	TICAM1
Q96AQ6	PBXIP1
Q7Z434	MAVS
Q14152	EIF3A
Q8IWV1	LAX1
Q66K74	MAP1S
Q8TDM6	DLG5
P62988	RPS27A
P62988	UBA52
P62988	UBB
P62988	UBC
Q9Y580	RBM7
O14654	IRS4
Q9NRI5	DISC1
Q12983	BNIP3
Q9UL62	TRPC5
Q99497	PARK7
Q9NR82	KCNQ5
P04439	HLA-A
Q14185	DOCK1
O94875	SORBS2
Q86X55	CARM1
Q5T2W1	PDZK1
P49748	ACADVL
Q969F2	NKD2
Q53GS7	GLE1
O15525	MAFG
Q9H9Z2	LIN28A
Q8N103	TAGAP
P16035	TIMP2
Q96RD7	PANX1
P46934	NEDD4
Q14258	TRIM25
Q9Y446	PKP3
Q9Y4D1	DAAM1
Q9BXK1	KLF16
Q9BSB4	ATG101
Q15437	SEC23B
Q8NFG4	FLCN
Q8TDY2	RB1CC1
Q13049	TRIM32
O95139	NDUFB6
P56181	NDUFV3
Q9UI09	NDUFA12
Q9UGP4	LIMD1
Q9BTA9	WAC
Q9NZI6	TFCP2L1
O00512	BCL9
Q9UGL1	KDM5B
O75306	NDUFS2
Q14106	TOB2
Q8N884	CGAS
P49821	NDUFV1
O15084	ANKRD28
P23508	MCC
O15553	MEFV
P35670	ATP7B
A6ND36	FAM83G
Q6P589	TNFAIP8L2
Q99959	PKP2
P61006	RAB8A
Q13239	SLA
O60234	GMFG
Q9UPN9	TRIM33
P12532	CKMT1A
P12532	CKMT1B
Q14596	NBR1
Q9NW38	FANCL
Q9BPU6	DPYSL5
Q9BXF6	RAB11FIP5
Q01518	CAP1
Q7Z6A9	BTLA
Q495A1	TIGIT
Q9P2J5	LARS1
Q92905	COPS5
P48995	TRPC1
Q99967	CITED2
Q13127	REST
P13591	NCAM1
Q9Y4H4	GPSM3
P16471	PRLR
Q92830	KAT2A
Q17RH5	RAPGEF2
Q9H6R7	WDCP
O43474	KLF4
Q76N32	CEP68
Q8TEP8	CEP192
O60216	RAD21
P50406	HTR6
Q8IWR1	TRIM59
Q9H6L5	RETREG1
Q53SB6	DNPEP
Q96EV8	DTNBP1
P25101	EDNRA
Q9Y5X5	NPFFR2
P43246	MSH2
Q92995	USP13
Q9UBP0	SPAST
Q9H8M2	BRD9
Q9H4L4	SENP3
Q96F24	NRBF2
O95163	ELP1
Q8TBX8	PIP4K2C
P35613	BSG
O14503	BHLHE40
Q9GZQ8	MAP1LC3B
Q8IUH4	ZDHHC13
Q8NEM0	MCPH1
O43543	XRCC2
Q8IYD8	FANCM
O75717	WDHD1
Q9GZT9	EGLN1
Q9H1Y0	ATG5
P23919	DTYMK
P37275	ZEB1
P11166	SLC2A1
Q14190	SIM2
Q9H7Z6	KAT8
O15164	TRIM24
Q9HB75	PIDD1
O94874	UFL1
P52209	PGD
Q9H3Q1	CDC42EP4
Q9UKF7	PITPNC1
P35503	UGT1A3
Q14184	DOC2B
O75144	ICOSLG
Q96QS3	ARX
Q6P2E9	EDC4
P21580	TNFAIP3
O95229	ZWINT
Q96K21	ZFYVE19
Q17R91	DIAPH2
Q96CN5	LRRC45
Q99501	GAS2L1
Q16549	PCSK7
Q96HE7	ERO1A
Q6SZW1	SARM1
Q13835	PKP1
Q14155	ARHGEF7
Q9UJZ1	STOML2
Q96ST2	IWS1
Q9H9T3	ELP3
Q01813	PFKP
O00291	HIP1
P48431	SOX2
Q03181	PPARD
Q53QZ3	ARHGAP15
P35558	PCK1
P61247	RPS3A
P84103	SRSF3
Q9P0N9	TBC1D7
Q5TA89	HES5
Q5UE93	PIK3R6
P53602	MVD
P62424	RPL7A
P45880	VDAC2
P06493	CDK1
Q9HC98	NEK6
P24941	CDK2
Q00526	CDK3
Q00535	CDK5
Q15131	CDK10
P11802	CDK4
Q00534	CDK6
P50613	CDK7
P49336	CDK8
Q9BWU1	CDK19
P21127	CDK11B
P50750	CDK9
Q14004	CDK13
Q9NYV4	CDK12
Q00536	CDK16
Q00537	CDK17
Q07002	CDK18
Q8IZL9	CDK20
Q8TDX7	NEK7
P53350	PLK1
P63000	RAC1
Q9NS87	KIF15
P02461	COL3A1
P16284	PECAM1
P15692	VEGFA
O95235	KIF20A
P09038	FGF2
Q8TD19	NEK9
Q9UNS8	VEGF
P35916	FLT4
P35968	KDR
P52732	KIF11
P60953	CDC42
P49137	MAPKAPK2
Q05397	PTK2
P49023	PXN
P55211	CASP9
Q92934	BAD
P17252	PRKCA
P04049	RAF1
Q02750	MAP2K1
